run_tag,symbol,time,dir,entry,exit,vol,pnl,risk_money,atr_at_entry,exit_reason
BS75tr2,BTCUSDm,2020.12.30 09:02:40,1,0.00,27413.10,0.10,-18.36,48.71,324.75,sl
BS75tr2,BTCUSDm,2020.12.31 01:09:40,1,0.00,28145.83,0.04,-25.94,25.29,421.54,sl
BS75tr2,BTCUSDm,2020.12.31 13:13:40,1,0.00,27990.14,0.05,-17.27,26.56,354.10,sl
BS75tr2,BTCUSDm,2021.01.01 18:45:40,1,0.00,28797.64,0.04,-25.86,25.86,431.03,sl
BS75tr2,BTCUSDm,2021.01.02 20:24:40,1,0.00,32272.18,0.21,554.48,82.96,263.38,sl
BS75tr2,BTCUSDm,2021.01.03 18:35:40,1,0.00,32340.10,0.02,-27.24,27.24,907.89,sl
BS75tr2,BTCUSDm,2021.01.07 18:43:40,1,0.00,37871.04,0.03,106.80,30.95,687.72,sl
BS75tr2,BTCUSDm,2021.01.07 18:48:40,1,0.00,36969.43,0.03,-30.24,30.23,671.86,sl
BS75tr2,BTCUSDm,2021.01.08 20:44:40,1,0.00,39044.07,0.02,-33.44,33.44,1114.65,sl
BS75tr2,BTCUSDm,2021.01.15 12:29:40,1,0.00,37304.31,0.07,-0.22,80.60,767.58,sl
BS75tr2,BTCUSDm,2021.01.22 04:04:40,-1,0.00,31011.22,0.03,-47.29,47.29,1050.81,sl
BS75tr2,BTCUSDm,2021.01.25 10:15:40,1,0.00,32774.02,0.06,-47.06,47.06,522.90,sl
BS75tr2,BTCUSDm,2021.01.25 19:59:40,1,0.00,33365.34,0.06,-48.70,48.70,541.07,sl
BS75tr2,BTCUSDm,2021.01.29 04:09:40,1,0.00,33327.66,0.07,-59.31,59.32,564.91,sl
BS75tr2,BTCUSDm,2021.01.29 09:06:40,1,0.00,34912.96,0.02,-27.28,27.28,909.20,sl
BS75tr2,BTCUSDm,2021.01.29 18:12:40,1,0.00,35233.80,0.01,-16.81,16.81,1120.89,sl
BS75tr2,BTCUSDm,2021.02.02 11:57:40,1,0.00,34718.72,0.12,-73.25,73.26,406.98,sl
BS75tr2,BTCUSDm,2021.02.04 09:11:40,1,0.00,36779.30,0.11,106.50,87.68,531.39,sl
BS75tr2,BTCUSDm,2021.02.06 23:14:40,1,0.00,39430.73,0.08,58.09,51.31,427.55,sl
BS75tr2,BTCUSDm,2021.02.08 13:10:40,1,0.00,42110.77,0.03,-33.43,33.43,742.88,sl
BS75tr2,BTCUSDm,2021.02.10 15:27:40,1,0.00,44379.63,0.01,-19.92,19.77,1317.86,sl
BS75tr2,BTCUSDm,2021.02.14 15:33:40,1,0.00,48106.68,0.07,-52.22,52.22,497.37,sl
